"""tag"",""text"""
"""real"",""Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo"""
"""real"",""Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw"""
"""real"",""Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere."""
"""real"",""Update - Telegraph reporter Henry Samuels tells Sky News 10 people have been killed in shooting at Charlie Hebdo headquarters in #Paris"""
"""real"",""Just confirmed. 10 people dead at shooting in the centre of #Paris. Many believed to be journos working for #CharlieHebdo"""
"""real"",""French official says attack on Paris weekly #CharlieHebdo was with Kalachnikov automatic rifles and rocket launcher. Unprecedented. #AFP"""
"""real"",""Ten dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/JXujfbiZGu"""
"""real"",""10 dead as shots fired at French satirical weekly #CharlieHebdo. #AFP http://t.co/KqSnXV4Kqf"""
"""real"",""Unconfirmed reports that #CharlieHebdo attackers shouted ""The Prophet is avenged"" and used a rocket launcher. This is next level ****."""
"""real"",""Scene at Paris HQ of satirical magazine Charlie Hebdo - police confirm gunmen kill at least 10 http://t.co/t3gks9dapq http://t.co/bnD65c9hwF"""
"""real"",""11 dead as shots fired at French satirical weekly #CharlieHebdo. Photo: Philippe Dupeyrat  #AFP http://t.co/q38epI1b8b"""
"""real"",""Update - 11 people dead at headquarters of French satirical weekly publication Charlie Hebdo after armed gunmen stormed the office in #Paris"""
"""real"",""10 people confirmed dead in Paris attack - rocket launcher used in assault, according to reports http://t.co/7N7uvClhWY"""
"""real"",""Paris-based journalist says the attack on Charlie Hebdo's HQ involved men armed with ""rocket propelled grenades"" http://t.co/1PJH17mcLz"""
"""real"",""BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3"""
"""real"",""LIVE - 11 dead in shooting at HQ of satirical weekly @Charlie_Hebdo_ in Paris (police source)  https://t.co/4yt6nafpIg #CharlieHebdo"""
"""real"",""Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ. http://t.co/xcK8lY9IeR http://t.co/QPKtv7stET"""
"""real"",""""Several men in black cagoules were heard to shout 'the Prophet has been avenged.'"" http://t.co/wu7XfGcZsM"""
"""real"",""BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"""
"""real"",""Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc"""
"""real"",""At least 11 dead and 5 injured after gunmen storm Charlie Hebdo office in Paris http://t.co/Ujw9LonL8N http://t.co/JnhZmKeW5M"""
"""real"",""Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt"""
"""real"",""BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be"""
"""real"",""#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7"""
"""real"",""At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source) https://t.co/e4dBcNVbvD"""
"""real"",""11 dead in Paris shooting at French satirical newspaper Charlie Hebdo, police official says - @AP http://t.co/ZFJYh80uxy"""
"""real"",""French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo"""
"""real"",""Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38"""
"""real"",""Horrendous story from Paris - 11 shot dead + many wounded at offices of satirical mag #CharlieHebdo that published cartoons of Muhammad."""
"""real"",""11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"""
"""real"",""Armed men were reportedly asking for journalists by name at Charlie Hebdo. Unimaginable..  http://t.co/A11KlzNPnn"""
"""real"",""#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E"""
"""real"",""#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN"""
"""real"",""Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT"""
"""real"",""Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN"""
"""real"",""Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO"""
"""real"",""French President Hollande condemns ""barbaric act"" after #CharlieHebdo gun attack kills 11 http://t.co/keuR4WvpHu http://t.co/vyuRvukz1N"""
"""real"",""Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/y1ErbSGv5P"""
"""real"",""#CharlieHebdo gunmen fled in stolen car after 'mass shoot-out' with police officers http://t.co/eocvQn42Hg http://t.co/545ooj5xMM"""
"""real"",""French leader: Attack that killed 11 at Paris newspaper an act of terror, other attacks thwarted in recent weeks: http://t.co/9rrqfEaQj5"""
"""real"",""Reports #CharlieHebdo gunmen were asking for journalists by name before opening fire. Armed with AK47s and RPG"""
"""real"",""Graphic: Video shows gunmen with automatic rifles during attack on #CharlieHebdo in #Paris: https://t.co/fQXxNsJOWq http://t.co/Y0uxe72R2N"""
"""real"",""Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb"""
"""real"",""Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest."""
"""real"",""Awful. 11 shot dead in an assault on a Paris magazine. http://t.co/xxINS8etDB #CharlieHebdo http://t.co/as3YoLthcx"""
"""real"",""New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar"""
"""real"",""Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5"""
"""real"",""Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …"""
"""real"",""Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a ""scene of carnage."""""
"""real"",""Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo"""
"""real"",""Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo"""
"""real"",""12 confirmed dead  in #CharlieHebdo attack (@AFP) http://t.co/82wVYNxteC"""
"""real"",""Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev"""
"""real"",""Twelve people confirmed dead in shooting at French satirical magazine Charlie Hebdo in Paris http://t.co/X6UWH7PFP1 http://t.co/TCWtE8nkpm"""
"""real"",""Charlie Hebdo shooting is a ferociously shocking moment with terrible implications for us all:  http://t.co/sIJO1vRp3w Twelve now dead."""
"""real"",""Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5"""
"""real"",""Update - Police say 12 people killed after armed gunmen stormed headquarters of French weekly publication 'Charlie Hebdo' in #Paris"""
"""real"",""Police say 12 now dead in #CharlieHebdo attack including 2 police officers; prosecutor says gunmen still at large http://t.co/4AaqPAQMOb"""
"""real"",""12 people now known to have died after gunmen stormed the Paris HQ of magazine #CharlieHebdo http://t.co/ImgE2AACPw http://t.co/h2wgFokYVW"""
"""real"",""Terrorist Attack #footage today, 11 dead in Paris @Charlie_Hebdo_  newspaper http://t.co/5sIQslHCeh"""
"""real"",""BREAKING: Police official confirms that 12 have died in the attack on the #CharlieHebdo headquarters http://t.co/K7ZHV9C27F"""
"""real"",""Charlie Hebdo shooting: twelve dead at Paris offices of satirical magazine  – live updates http://t.co/Yc1915SVdD"""
"""real"",""Cartoonists Cabu and Charb died in the attack against #CharlieHebdo, @LePoint reports http://t.co/nBdM0iZIq4  http://t.co/XMCXKb8QtK"""
"""real"",""At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"""
"""real"",""Video footage of the the Paris shooting from French TV, via @nycjim, including a shout of Allahu akbar http://t.co/zRCnE2NeQ6"""
"""real"",""now 13 dead at Charlie #Hebdo; gunmen show signs of military training; fled in black car, dumped it, hijacked another; set off for suburbs"""
"""real"",""12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU"""
"""real"",""Paris is on the highest terrorist alert after 12 people were shot dead at the offices of a satirical weekly magazine. http://t.co/040PfC0If8"""
"""real"",""“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/7USD83cQd2 http://t.co/WGHbLiLFoX”"""
"""real"",""UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U"""
"""real"",""Gunshots heard as well as shouts of ""Allahu Akbar!"" in amateur videos of #CharlieHebdo attack http://t.co/3Jsosc7yl3 http://t.co/NM8T2KJJGx"""
"""real"",""Photo of the 2 cartoonists killed in the attack on #CharlieHebdo in #Paris today. RIP. via @LePoint. http://t.co/mms8xWU1Ze"""
"""real"",""#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13 http://t.co/kGVAxtzyt4"""
"""real"",""French police confirm that the #CharlieHebdo attackers shouted ""The Prophet has been avenged"". Sigh."""
"""real"",""Breaking: Paris police say 12 dead after shooting at Charlie Hebdo http://t.co/kugeXjzDlf"""
"""real"",""Gunmen at #CharlieHebdo's Paris HQ shouted they had ""avenged the prophet"", reports say http://t.co/1z7NtGWe5i http://t.co/IEWCMH7oUV"""
"""real"",""Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims"""
"""real"",""PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0"""
"""real"",""MORE PHOTOS: Armed gunmen fire at police near #CharlieHebdo HQ #ParisShooting http://t.co/bb3JNdmTeF"""
"""real"",""#Charlie Hebdo. It was press day at the magazine so all important staff were there. Now 10 assassinated along with 2 police officers."""
"""real"",""Unconfirmed reports gunmen asked for people by name before killing editor and cartoonist http://t.co/26GC840I9k #CharlieHebdo"""
"""real"",""#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A"""
"""real"",""#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD"""
"""real"",""At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K"""
"""real"",""LIVE: Paris on alert as gunmen kill twelve in massacre at #CharlieHebdo magazine office: http://t.co/q0K4AorQmJ http://t.co/rb4DycPVeC"""
"""real"",""At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg"""
"""real"",""#CharlieHebdo's lawyer says the magazine's editor-in-chief was killed in the attack. More on this developing story: http://t.co/ryZaVLR6mM"""
"""real"",""#CharlieHebdo Attack UPDATE: Cartoonists Cabu, Charb, Wolinski die - report http://t.co/3Jsosc7yl3 http://t.co/3H1ZbykE0D"""
"""real"",""UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g"""
"""real"",""This was a well-planned attack: the gunmen hit #CharlieHebdo in the middle of the weekly conference, with all staff present."""
"""real"",""Reports gunmen shouted ""Allahu Akbar"" &amp; ""the prophet was avenged"". If we don't share these, they win. #JeSuisCharlie http://t.co/0ykqcFmUJ7"""
"""real"",""11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS"""
"""real"",""Terrifying account. Attackers spoke perfect French, eyewitness says RT  http://t.co/n1uLNlY9bf via @humanite_fr http://t.co/snAKGl1XkX"""
"""real"",""Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous"""
"""real"",""“I don’t feel as though I’m killing someone with a pen."" -Stephane Charbonnier 1967-2015 #CharlieHebdo http://t.co/RmJlpSsaNt"""
"""real"",""#CharlieHebdo Stéphane Charbonnier and Jean Cabut died for freedom of press. May their bravery &amp; spirit live forever http://t.co/JBjJicdNbq"""
"""real"",""Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded."""
"""real"",""Paris is on alert after gunmen killed twelve people at the office of satirical magazine Charlie Hebdo http://t.co/aUlvfkdg5u"""
"""real"",""France's most talented cartoonists:Cabu, Wolinski, Charb, Tignous died in #CharlieHebdo attack http://t.co/HrNScpSyMj http://t.co/GSG45GlgIt"""
"""real"",""Police confirm deaths of four of France's most celebrated cartoonists Charb, Cabu, Wolinski and Tignous #CharlieHebdo http://t.co/K7ZHV9C27F"""
"""real"",""According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous."""
"""real"",""Gunmen showed advanced military skills in Paris #CharlieHebdo attack: http://t.co/Q5FIaTLF8G http://t.co/XiZLErM37y"""
"""real"",""4 #CharlieHebdo cartoonists killed: - Charb - Cabu - Tignous - Georges Wolinski #JeSuisCharlie http://t.co/QbaEYog2S2"""
"""real"",""As #CharlieHebdo attack unfolded, a journalist tweeted while taking shelter on a roof http://t.co/VUnbUrUpws http://t.co/P8E6hJcmHw"""
"""real"",""Police: Four of France's most celebrated cartoonists killed: Charb, Cabu, Wolinski, &amp; Tignous http://t.co/g0dRKU3qCV #CharlieHebdo"""
"""real"",""""You tell the media it was al-Qaeda in Yemen"" - reported words of #CharlieHebdo attackers. Read more: http://t.co/qDPrycGtAR #c4news"""
"""real"",""#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/7aR1fN2hB4"""
"""real"",""#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/Zc8KZ0wNwR"""
"""real"",""#CharlieHebdo editor-in-chief Stephane Charbonnier, known as ""Charb"", &amp; 3 other cartoonists killed - judicial sources http://t.co/R6fzwhMB6l"""
"""real"",""#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228"""
"""real"",""BREAKING: French authorities say the two #CharlieHebdo terrorists are still ""armed and extremely dangerous."""""
"""real"",""Staff of #CharlieHebdo magazine were shot as they were in the midst of an editorial meeting. Latest updates: http://t.co/E0XArYscqK"""
"""real"",""Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD"""
"""real"",""Update - Police say 3 gunmen on the loose after 12 people were killed when HQ of satirical publication #CharlieHebdo was attacked in #Paris"""
"""real"",""Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy"""
"""real"",""Three attackers being hunted for assault on French magazine #CharlieHebdo, French interior minister says http://t.co/F7ZB9JXIfe"""
"""real"",""Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man http://t.co/IX8Wys3p5M"""
"""real"",""URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV"""
"""real"",""BREAKING: Three gunmen involved in attack on Charlie Hebdo magazine, French Interior Minister Bernard Cazeneuve says. http://t.co/ak9mTVfJdR"""
"""real"",""3 people carried out #CharlieHebdo attack, and authorities are searching for them, French interior minister says. http://t.co/zUfxcG3Rfs"""
"""real"",""Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large http://t.co/3Jsosc7yl3"""
"""real"",""France's top security official confirms that 3 gunmen carried out the attack on #CharlieHebdo http://t.co/gL0vcc2IP5"""
"""real"",""Officials say 3 gunmen carried out Charlie Hebdo shootings, France’s bloodiest terrorist attack in nearly 2 decades. http://t.co/03Tiwniedk"""
"""real"",""#CHARLIEHEBDO Shooting Wrap-up: 12 dead, 3 gunmen at large, Paris on high terrorist alert http://t.co/3Jsosc7yl3 http://t.co/uAEdhUuO03"""
"""real"",""Eyewitness: terrorists said, “Tell the media that this is al Qaeda in the Yemen” before attacking #CharlieHebdo http://t.co/dTaPFkFr5F"""
"""real"",""Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr"""
"""real"",""This is trending on French twitter #MouradHamydInnocent started by classmates who say Mourad was in class when #CharlieHebdo attack happened"""
"""real"",""Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT"""
"""real"",""#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1"""
"""real"",""Evet! : From Banksy #JeSuisCharlie http://t.co/7QX4hhYytl”"""
"""real"",""Great picture by Banksy. So simple, yet so powerful. #JeSuisCharlie Please share. http://t.co/v1ojeJ4d2l"""
"""real"",""Tribute to #CharlieHebdo on Banksy's instagram account: http://t.co/VE37nfsL2R http://t.co/b0QYWmMUkL"""
"""real"",""Banksy #JeSuisCharlie http://t.co/8w3m2CX96n"""
"""real"",""Nice work from Banksy #JeSuisCharlie http://t.co/w9pJIrf7cP"""
"""real"",""Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie #IamCharlie #ParisShooting http://t.co/G8D3mixbjX"""
"""real"",""Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc"""
"""real"",""Banksy’s take on #CharlieHebdo http://t.co/FuqO8rAVcP"""
"""real"",""Ahmed Merabet, a French Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie http://t.co/cMKQhVTLQN"""
"""real"",""#UPDATE Three men including two brothers identified in France newspaper attack: source http://t.co/5NoNuqJSu1 #JeSuisCharlie #CharlieHebdo"""
"""real"",""R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/vEHq0PAZwE"""
"""real"",""""Banksy"" reacts to #CharlieHebdo attack with poignant drawing http://t.co/5uVjGKfQB4 http://t.co/lOMvBsMj5q"""
"""real"",""Suspects in #CharlieHebdo attack identified by police as Said Kouachi, Cherif Kouachi &amp; Hamyd Mourad http://t.co/kTtysbF7fX"""
"""real"",""#Banksy has also contributed a powerful message of perseverance &amp; support after #CharlieHebdo attack. #JeSuisCharlie http://t.co/bm8uyixSma"""
"""real"",""#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD"""
"""real"",""FRANCE - PHOTO: Ahmed Merabet, French #Muslim Cop, first victim of #CharlieHebdo attack today. http://t.co/osFUOA9o1F"""
"""real"",""1st person killed by terrorists was a French Muslim cop, RIP Ahmed Merabet. Bigotry is ALWAYS wrong! #CharlieHebdo http://t.co/yyitubfAIt"""
"""real"",""RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5"""
"""real"",""R.I.P. Ahmed Merabet, a French police officer, a Muslim, the first victim of #CharlieHebdo attack, http://t.co/bMzZgpXuL7 via @Ironyisfunny8"""
"""real"",""Breaking: automatic gunfire reported at Montrouge near Paris. Gunmen escaped in metro, say French reports http://t.co/2J4WQdJnTp"""
"""real"",""Banksy's take on Charlie Hebdo is simple, elegant &amp; uncompromising #JeSuisCharlie http://t.co/FoQeqSd548"""
"""real"",""Banksy account joins cartoonists support for #CharlieHebdo #JeSuisCharlie  http://t.co/nFD1N4Yqu0 http://t.co/R2bEWKupRt"""
"""real"",""Two police officers have been injured in a shooting in #Montrouge in southern #Paris - there is no direct link with the #CharlieHebdo attack"""
"""real"",""Policeman seriously injured in new #Paris shooting as seven arrests made - live updates http://t.co/cCc9GdG3HV http://t.co/JqhZChVPCw"""
"""real"",""The Image That Everyone Is Sharing isn't By Banksy — But It's Awesome. #CharlieHebdo http://t.co/YF1d7tvNwE http://t.co/UfBtgLRRYc"""
"""real"",""Police: Shooting in southern Paris wounds French police officer; too early to draw connection between this and Charlie Hebdo attack - @AP"""
"""real"",""Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects http://t.co/L7wpNhAYZn http://t.co/oQi2UinDH1"""
"""real"",""Shooting south of Paris with one police officer injured. Police say no known link to #CharlieHebdo attack http://t.co/UZlFI7Bb5s"""
"""real"",""This powerful cartoon about the Charlie Hebdo attack is not by Banksy http://t.co/F6cNaivqCS http://t.co/ZrIUn6O8nS"""
"""real"",""Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking http://t.co/NQueBlmfOt http://t.co/HedHlyB24X"""
"""real"",""French cartoonists Charb, Cabu, Tignous and Wolinski all killed in Charlie Hebdo attack http://t.co/CbudA0P8Op http://t.co/1YlQLrdp70"""
"""real"",""UPDATE: Two Paris cops shot as manhunt for #CharlieHebdo suspects continues http://t.co/RgwbjXuMTJ http://t.co/wnY8ZMR7Rd"""
"""real"",""One suspect in the #CharlieHebdo shooting has handed himself in; two others remain at large: http://t.co/B8B2db88l6 http://t.co/cXVCGoxGzD"""
"""real"",""R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/idgRlYPSk7"""
"""real"",""Ahmed Merabet, a French Police officer, the first victim of #CharlieHebdo attack .. He was a Musilm #RIP http://t.co/Z5Qx2gGMNp"""
"""real"",""UPDATE: Police officer shot outside Paris this morning dies http://t.co/OoALEHIyC4 #Montrouge http://t.co/OgAwuVq0rM"""
"""real"",""Brilliant by @LucilleClerc #CharlieHebdo http://t.co/fklXQlrbEL"""
"""real"",""ID card of Said Kouachi, suspect in #CharlieHebdo attack, found in car left by 2 suspects http://t.co/QBuyFSVORd http://t.co/FyiSZvWJJ5"""
"""real"",""The two suspects in the #CharlieHebdo #ParisShooting have been located, reports say. http://t.co/CI1tEpiuFO http://t.co/MAk3reuOE8"""
"""real"",""‘Banksy’ Instagram tribute to #CharlieHebdo victims not posted by artist http://t.co/EKlScFGWVu (Pic: Lucille Clerc) http://t.co/ZYEBaU8YUQ"""
"""real"",""AFP: the two armed suspects who attacked #CharlieHebdo's headquarters yesterday have been located in northern France"""
"""real"",""The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK"""
"""real"",""URGENT: #CharlieHebdo suspects located in Aisne, northern France - reports via @le_Parisien http://t.co/MHmEQPX2D6 http://t.co/8kSi0WaQBG"""
"""real"",""French media reporting owner of petrol station saw 2 men wearing masks in car with guns &amp; rocket launcher #CharlieHebdo"""
"""real"",""Who are the two brothers suspected of launching #CharlieHebdo attack? We explain: http://t.co/WqmrAaIfCU (Pic: AFP) http://t.co/3mzxBh5gkH"""
"""real"",""2 brothers suspected of #CharlieHebdo attack spotted in northern France, sources tell AFP http://t.co/spzmOjmyT4"""
"""real"",""BREAKING: French police say they have located whereabouts of two suspects said to be behind attacks in Paris More at: http://t.co/WezWaJNjkZ"""
"""real"",""Interesting that #MouradHamydInnocent is trending, started by classmates who say suspect Mourad was in class at time of #CharlieHebdo attack"""
"""real"",""UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P"""
"""real"",""This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy http://t.co/HxKI8pefcU"""
"""real"",""French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB"""
"""real"",""The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU"""
"""real"",""#banksy You can try to break the pencil but it will multiply... #jesuischarlie http://t.co/iO1xSrQTvg"""
"""real"",""Banksy's response to the Charlie Hebdo attack is striking. But it isn't by Banksy http://t.co/LQNdK2Qkge http://t.co/cWhJZOLLhr"""
"""real"",""Banksy's response to the #CharlieHebdo attack isn't by Banksy. But it is striking: http://t.co/mag1lJXzjL http://t.co/3TDPkGFxrx"""
"""real"",""R.I.P. Ahmed Merabet, a French Muslim cop, first victim of #CharlieHebdo #ParisShooting http://t.co/CYQZhV8Sxc"""
"""real"",""BREAKING: Police search northern France gas station local media says was allegedly robbed by #CharlieHebdo suspects. http://t.co/BTqdPhZdL9"""
"""real"",""Police search gas station where French media reported #CharlieHebdo suspects allegedly were seen. http://t.co/v9cuXpPIYF"""
"""real"",""I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo"""
